Standard name	Systematic name
APC1	YNL172W
APC11	YDL008W
APC2	YLR127C
RSI1	YLR127C
APC4	YDR118W
APC5	YOR249C
RMC1	YOR249C
APC9	YLR102C
APD1	YBR151W
APE1	YKL103C
API	YKL103C
LAP4	YKL103C
YSC1	YKL103C
APE2	YKL157W
LAP1	YKL157W
APE3	YBR286W
APE4	YHR113W
API2	YDR525W
APJ1	YNL077W
APL1	YJR005W
YAP80	YJR005W
APL2	YKL135C
APL3	YBL037W
APL4	YPR029C
APL5	YPL195W
YKS4	YPL195W
APL6	YGR261C
YKS5	YGR261C
APM1	YPL259C
YAP54	YPL259C
APM2	YHL019C
APM3	YBR288C
YKS6	YBR288C
APM4	YOL062C
AMP1	YOL062C
APN1	YKL114C
APN2	YBL019W
ETH1	YBL019W
APP1	YNL094W
APQ12	YIL040W
APQ13	YJL075C
APS1	YLR170C
YAP19	YLR170C
APS2	YJR058C
YAP17	YJR058C
APS3	YJL024C
YKS7	YJL024C
APT1	YML022W
APT2	YDR441C
AQR1	YNL065W
AQY1	YPR192W
AQY1-2	YPR192W
AQY2	YLL052C
AQY2-2	YLL052C
ARA1	YBR149W
ARA2	YMR041C
ARB1	YER036C
ARC15	YIL062C
ARC18	YLR370C
ARC19	YKL013C
ARC1	YGL105W
G4P1	YGL105W
ARC35	YNR035C
ARC40	YBR234C
ARD1	YHR013C
ARE1	YCR048W
SAT2	YCR048W
ARE2	YNR019W
SAT1	YNR019W
ARF1	YDL192W
ARF2	YDL137W
ARF3	YOR094W
ARG1	YOL058W
ARG2	YJL071W
ARG3	YJL088W
ARG4	YHR018C
ARG5,6	YER069W
ARG7	YMR062C
ECM40	YMR062C
ARG8	YOL140W
ARG80	YMR042W
ARGR1	YMR042W
ARG81	YML099C
ARGR2	YML099C
ARG82	YDR173C
ARGR3	YDR173C
IPK2	YDR173C
ARH1	YDR376W
ARI1	YGL157W
ARK1	YNL020C
ARL1	YBR164C
ARF3	YBR164C
ARL3	YPL051W
ARP1	YPL051W
ARN1	YHL040C
ARN2	YHL047C
TAF1	YHL047C
ARO10	YDR380W
ARO1	YDR127W
AROM	YDR127W
ARO2	YGL148W
ARO3	YDR035W
ARO4	YBR249C
ARO7	YPR060C
OSM2	YPR060C
ARO8	YGL202W
ARO80	YDR421W
ARO9	YHR137W
ARP10	YDR106W
ARP1	YHR129C
ACT3	YHR129C
ACT5	YHR129C
ARP2	YDL029W
ACT2	YDL029W
ARP3	YJR065C
ACT4	YJR065C
ARP4	YJL081C
ACT3	YJL081C
ARP5	YNL059C
ARP6	YLR085C
ARP7	YPR034W
SWP61	YPR034W
ARP8	YOR141C
ARP9	YMR033W
SWP59	YMR033W
ARR1	YPR199C
ACR1	YPR199C
YAP8	YPR199C
ARR2	YPR200C
ACR2	YPR200C
ARR3	YPR201W
ACR3	YPR201W
ART10	YLR392C
ART2	YLR154W-A
ART3	YLR154W-E
ART5	YGR068C
ARV1	YLR242C
ARX1	YDR101C
ASA1	YPR085C
ASC1	YMR116C
CPC2	YMR116C
ASE1	YOR058C
ASF1	YJL115W
CIA1	YJL115W
ASF2	YDL197C
ASG1	YIL130W
ASG7	YJL170C
ASH1	YKL185W
ASI1	YMR119W
ASI2	YNL159C
ASI3	YNL008C
ASK1	YKL052C
ASK10	YGR097W
RGC2	YGR097W
ASM4	YDL088C
NUP59	YDL088C
ASN1	YPR145W
ASN2	YGR124W
ASP1	YDR321W
ASP3-1	YLR155C
ASP3-2	YLR157C
ASP3-3	YLR158C
ASP3-4	YLR160C
ASR1	YPR093C
AST1	YBL069W
AST2	YER101C
ATC1	YDR184C
LIC4	YDR184C
ATE1	YGL017W
ATF1	YOR377W
ATF2	YGR177C
ATG10	YLL042C
APG10	YLL042C
ATG11	YPR049C
CVT9	YPR049C
ATG12	YBR217W
APG12	YBR217W
ATG13	YPR185W
APG13	YPR185W
ATG14	YBR128C
APG14	YBR128C
CVT12	YBR128C
ATG15	YCR068W
AUT5	YCR068W
CVT17	YCR068W
ATG16	YMR159C
APG15	YMR159C
APG16	YMR159C
CVT11	YMR159C
SAP18	YMR159C
ATG17	YLR423C
APG17	YLR423C
ATG18	YFR021W
AUT10	YFR021W
CVT18	YFR021W
NMR1	YFR021W
SVP1	YFR021W
ATG19	YOL082W
CVT19	YOL082W
ATG1	YGL180W
APG1	YGL180W
AUT3	YGL180W
CVT10	YGL180W
ATG20	YDL113C
CVT20	YDL113C
SNX42	YDL113C
ATG21	YPL100W
CVT21	YPL100W
HSV1	YPL100W
MAI1	YPL100W
ATG22	YCL038C
AUT4	YCL038C
ATG23	YLR431C
CVT23	YLR431C
ATG26	YLR189C
UGT51	YLR189C
ATG27	YJL178C
ETF1	YJL178C
ATG29	YPL166W
ATG2	YNL242W
APG2	YNL242W
AUT8	YNL242W
SPO72	YNL242W
ATG31	YDR022C
CIS1	YDR022C
ATG32	YIL146C
ECM17	YIL146C
ATG33	YLR356W
ATG34	YOL083W
ATG19-B	YOL083W
ATG36	YJL185C
ATG38	YLR211C
ATG39	YLR312C
ATG3	YNR007C
APG3	YNR007C
AUT1	YNR007C
ATG40	YOR152C
ATG41	YPL250C
ICY2	YPL250C
ATG4	YNL223W
APG4	YNL223W
AUT2	YNL223W
ATG5	YPL149W
APG5	YPL149W
ATG7	YHR171W
APG7	YHR171W
CVT2	YHR171W
ATG8	YBL078C
APG8	YBL078C
AUT7	YBL078C
CVT5	YBL078C
ATG9	YDL149W
APG9	YDL149W
AUT9	YDL149W
CVT7	YDL149W
ATH1	YPR026W
ATM1	YMR301C
MDY	YMR301C
ATO2	YNR002C
FUN34	YNR002C
ATO3	YDR384C
ATP1	YBL099W
ATP10	YLR393W
ATP11	YNL315C
ATP12	YJL180C
ATP14	YLR295C
ATP15	YPL271W
ATP16	YDL004W
ATP17	YDR377W
ATP18	YML081C-A
ATP19	YOL077W-A
ATP2	YJR121W
ATP20	YPR020W
ATP22	YDR350C
TCM10	YDR350C
ATP23	YNR020C
ATP25	YMR098C
ATP3	YBR039W
ATP3a	YBR039W
ATP3b	YBR039W
ATP4	YPL078C
ATP5	YDR298C
OSCP	YDR298C
ATP6	Q0085
OLI2	Q0085
OLI4	Q0085
PHO1	Q0085
ATP7	YKL016C
ATP8	Q0080
AAP1	Q0080
ATR1	YML116W
SNQ1	YML116W
ATS1	YAL020C
ATX1	YNL259C
ATX2	YOR079C
AUA1	YFL010W-A
AUR1	YKL004W
AUS1	YOR011W
AVL9	YLR114C
AVO1	YOL078W
AVO2	YMR068W
AVT1	YJR001W
AVT2	YEL064C
AVT3	YKL146W
AVT4	YNL101W
AVT5	YBL089W
AVT6	YER119C
AVT7	YIL088C
AXL1	YPR122W
AXL2	YIL140W
BUD10	YIL140W
SRO4	YIL140W
AYR1	YIL124W
AYT1	YLL063C
AZF1	YOR113W
AZR1	YGR224W
BAG7	YOR134W
BAP2	YBR068C
BAP3	YDR046C
PAP1	YDR046C
BAR1	YIL015W
SST1	YIL015W
BAS1	YKR099W
BAT1	YHR208W
ECA39	YHR208W
TWT1	YHR208W
BAT2	YJR148W
TWT2	YJR148W
BBC1	YJL020C
MTI1	YJL020C
BBP1	YPL255W
BCD1	YHR040W
BCH1	YMR237W
BCH2	YKR027W
FMP50	YKR027W
BCK1	YJL095W
LAS3	YJL095W
SLK1	YJL095W
SSP31	YJL095W
BCK2	YER167W
CTR7	YER167W
BCP1	YDR361C
BCS1	YDR375C
BCY1	YIL033C
REG1	YIL033C
SRA1	YIL033C
BDF1	YLR399C
BDF2	YDL070W
BDH1	YAL060W
BDH	YAL060W
BDH2	YAL061W
BDP1	YNL039W
TFC5	YNL039W
BDS1	YOL164W
BEM1	YBR200W
SRO1	YBR200W
BEM2	YER155C
IPL2	YER155C
SUP9	YER155C
BEM3	YPL115C
BEM4	YPL161C
BER1	YLR412W
BET1	YIL004C
SLY12	YIL004C
BET2	YPR176C
BET3	YKR068C
BET4	YJL031C
BET5	YML077W
BFA1	YJR053W
BFR1	YOR198C
BFR2	YDR299W
BGL2	YGR282C
SCW9	YGR282C
BI2	Q0110
BI3	Q0115
BI4	Q0120
SCBI4	Q0120
BIG1	YHR101C
BIK1	YCL029C
BIM1	YER016W
BIO2	YGR286C
BIO3	YNR058W
BIO4	YNR057C
BIO5	YNR056C
BIR1	YJR089W
BIT2	YBR270C
BIT61	YJL058C
BLI1	YKL061W
BLM10	YFL007W
BLM3	YFL007W
BLS1	YLR408C
BMH1	YER177W
BMH2	YDR099W
BMS1	YPL217C
BMT2	YBR141C
BMT5	YIL096C
BMT6	YLR063W
BNA1	YJR025C
HAD1	YJR025C
BNA2	YJR078W
BNA3	YJL060W
BNA4	YBL098W
BNA5	YLR231C
BNA6	YFR047C
QPT1	YFR047C
BNA7	YDR428C
BNI1	YNL271C
PPF3	YNL271C
SHE5	YNL271C
BNI4	YNL233W
BNI5	YNL166C
BNR1	YIL159W
BNS1	YGR230W
BOI1	YBL085W
BOB1	YBL085W
GIN7	YBL085W
BOI2	YER114C
BEB1	YER114C
BOL1	YAL044W-A
BOL2	YGL220W
AIM15	YGL220W
FRA2	YGL220W
BOL3	YAL046C
AIM1	YAL046C
BOP2	YLR267W
BOP3	YNL042W
BOR1	YNL275W
BOS1	YLR078C
BPH1	YCR032W
BPL1	YDL141W
ACC2	YDL141W
BPT1	YLL015W
BRE1	YDL074C
BRE2	YLR015W
CPS60	YLR015W
BRE4	YDL231C
BRE5	YNR051C
BRF1	YGR246C
PCF4	YGR246C
TDS4	YGR246C
BRL1	YHR036W
BRN1	YBL097W
BRO1	YPL084W
ASI6	YPL084W
LPF2	YPL084W
NPI3	YPL084W
VPS31	YPL084W
BRP1	YGL007W
BRR1	YPR057W
BRR2	YER172C
RSS1	YER172C
SNU246	YER172C
BRR6	YGL247W
BRX1	YOL077C
BSC1	YDL037C
BSC2	YDR275W
BSC3	YLR465C
BSC4	YNL269W
BSC5	YNR069C
BSC6	YOL137W
BSD2	YBR290W
BSP1	YPR171W
BST1	YFL025C
BTN2	YGR142W
BTS1	YPL069C
BTT1	YDR252W
BUB1	YGR188C
BUB2	YMR055C
BUB3	YOR026W
BUD13	YGL174W
CWC26	YGL174W
SLC7	YGL174W
BUD14	YAR014C
BUD16	YEL029C
BUD17	YNR027W
BUD19	YJL188C
BUD20	YLR074C
BUD21	YOR078W
UTP16	YOR078W
BUD22	YMR014W
BUD23	YCR047C
BUD25	YER014C-A
BUD26	YDR241W
BUD27	YFL023W
URI	YFL023W
BUD28	YLR062C
BUD2	YKL092C
CLA2	YKL092C
ERC25	YKL092C
BUD3	YCL014W
BUD30	YDL151C
BUD31	YCR063W
CWC14	YCR063W
BUD32	YGR262C
LDB14	YGR262C
BUD4	YJR092W
BUD5	YCR038C
BUD6	YLR319C
AIP3	YLR319C
BUD7	YOR299W
BUD8	YLR353W
BUD9	YGR041W
BUG1	YDL099W
BUL1	YMR275C
DAG1	YMR275C
RDS1	YMR275C
SMM2	YMR275C
BUL2	YML111W
BUR2	YLR226W
CST4	YLR226W
BUR6	YER159C
NCB1	YER159C
BXI1	YNL305C
YBH3	YNL305C
BYE1	YKL005C
BZZ1	YHR114W
LSB7	YHR114W
CAB1	YDR531W
CAB2	YIL083C
CAB3	YKL088W
CAB4	YGR277C
CAB5	YDR196C
CAC2	YML102W
CAD1	YDR423C
YAP2	YDR423C
CAF120	YNL278W
CAF130	YGR134W
CAF16	YFL028C
CAF20	YOR276W
CAF2	YOR276W
CAP20	YOR276W
CAF4	YKR036C
CAF40	YNL288W
CAJ1	YER048C
CAK1	YFL029C
CIV1	YFL029C
CAM1	YPL048W
TEF3	YPL048W
CAN1	YEL063C
CAP1	YKL007W
CAP2	YIL034C
CAR1	YPL111W
CAR2	YLR438W
CARGB	YLR438W
CAT2	YML042W
CAT	YML042W
YCAT	YML042W
CAT5	YOR125C
COQ7	YOR125C
CAT8	YMR280C
MSP8	YMR280C
CAX4	YGR036C
CWH8	YGR036C
CBC2	YPL178W
CBP20	YPL178W
MUD13	YPL178W
SAE1	YPL178W
CBF1	YJR060W
CEP1	YJR060W
CP1	YJR060W
CPF1	YJR060W
CBF2	YGR140W
CBF3A	YGR140W
CEP2	YGR140W
CTF14	YGR140W
NDC10	YGR140W
CBF5	YLR175W
CBK1	YNL161W
CBP1	YJL209W
CBP2	YHL038C
CBP3	YPL215W
CBP4	YGR174C
CBP6	YBR120C
CBR1	YIL043C
CBR	YIL043C
CBR5	YIL043C
CBS1	YDL069C
CBS2	YDR197W
CBP7	YDR197W
CBT1	YKL208W
SOC1	YKL208W
CCA1	YER168C
TNT1	YER168C
CCC1	YLR220W
CCC2	YDR270W
CCE1	YKL011C
CCH1	YGR217W
CCL1	YPR025C
CCM1	YGR150C
DMR1	YGR150C
RRG2	YGR150C
CCP1	YKR066C
CCP	YKR066C
CPO	YKR066C
CCR4	YAL021C
CCS1	YMR038C
LYS7	YMR038C
CCT2	YIL142W
BIN3	YIL142W
TCP2	YIL142W
CCT3	YJL014W
BIN2	YJL014W
TCP3	YJL014W
CCT4	YDL143W
ANC2	YDL143W
TCP4	YDL143W
CCT5	YJR064W
TCP5	YJR064W
CCT6	YDR188W
TCP20	YDR188W
TCP6	YDR188W
CCT7	YJL111W
CCT8	YJL008C
CCW12	YLR110C
CCW14	YLR390W-A
ICWP	YLR390W-A
SSR1	YLR390W-A
CCW22	YDR134C
CCZ1	YBR131W
AUT11	YBR131W
CVT16	YBR131W
CDA1	YLR307W
CDA2	YLR308W
CDC10	YCR002C
CDC11	YJR076C
PSL9	YJR076C
CDC123	YLR215C
CDC12	YHR107C
CLA10	YHR107C
PSL7	YHR107C
CDC13	YDL220C
CDC14	YFR028C
OAF3	YFR028C
CDC15	YAR019C
LYT1	YAR019C
CDC16	YKL022C
CDC19	YAL038W
PYK1	YAL038W
CDC1	YDR182W
DSR1	YDR182W
ESP2	YDR182W
CDC20	YGL116W
CDC21	YOR074C
CRT9	YOR074C
TMP1	YOR074C
CDC23	YHR166C
CDC24	YAL041W
CLS4	YAL041W
CDC25	YLR310C
CTN1	YLR310C
CDC26	YFR036W
HIT3	YFR036W
SCD26	YFR036W
CDC27	YBL084C
APC3	YBL084C
SNB1	YBL084C
CDC28	YBR160W
CDK1	YBR160W
HSL5	YBR160W
SRM5	YBR160W
CDC3	YLR314C
CDC31	YOR257W
DSK1	YOR257W
CDC33	YOL139C
TIF45	YOL139C
CDC34	YDR054C
DNA6	YDR054C
UBC3	YDR054C
CDC36	YDL165W
DNA19	YDL165W
NOT2	YDL165W
CDC37	YDR168W
SMO1	YDR168W
CDC39	YCR093W
NOT1	YCR093W
ROS1	YCR093W
CDC4	YFL009W
CDC40	YDR364C
PRP17	YDR364C
SLU4	YDR364C
XRS2	YDR364C
CDC42	YLR229C
SRO2	YLR229C
CDC43	YGL155W
CAL1	YGL155W
CDC45	YLR103C
SLD4	YLR103C
CDC48	YDL126C
CDC50	YCR094W
CDC53	YDL132W
CDC55	YGL190C
CDC5	YMR001C
MSD2	YMR001C
PKX2	YMR001C
CDC6	YJL194W
CDC60	YPL160W
CDC73	YLR418C
CDC7	YDL017W
OAF2	YDL017W
CDC8	YJR057W
CDC9	YDL164C
CDD1	YLR245C
CDH1	YGL003C
HCT1	YGL003C
CDS1	YBR029C
CDG1	YBR029C
CEF1	YMR213W
NTC85	YMR213W
CEG1	YGL130W
CEM1	YER061C
CEP3	YMR168C
CBF3	YMR168C
CBF3B	YMR168C
CSL1	YMR168C
CET1	YPL228W
CEX1	YOR112W
CFD1	YIL003W
DRE3	YIL003W
RIX19	YIL003W
CFT1	YDR301W
YHH1	YDR301W
CFT2	YLR115W
YDH1	YLR115W
CGI121	YML036W
CGR1	YGL029W
CHA1	YCL064C
CHA4	YLR098C
SIL2	YLR098C
SIL3	YLR098C
CHC1	YGL206C
CHD1	YER164W
CHK1	YBR274W
CHL1	YPL008W
CTF1	YPL008W
CHL4	YDR254W
CTF17	YDR254W
MCM17	YDR254W
CHO1	YER026C
PSS	YER026C
PSS1	YER026C
CHO2	YGR157W
PEM1	YGR157W
CHS1	YNL192W
CHS2	YBR038W
CHS3	YBR023C
CAL1	YBR023C
CSD2	YBR023C
DIT101	YBR023C
KIT2	YBR023C
CHS5	YLR330W
CAL3	YLR330W
CHS6	YJL099W
CSD3	YJL099W
CHS7	YHR142W
CHZ1	YER030W
CIA1	YDR267C
CIC1	YHR052W
NSA3	YHR052W
CIK1	YMR198W
CIN1	YOR349W
CIN2	YPL241C
CIN4	YMR138W
GTP1	YMR138W
UGX1	YMR138W
CIN5	YOR028C
HAL6	YOR028C
SDS15	YOR028C
YAP4	YOR028C
CIN8	YEL061C
KSL2	YEL061C
CIR1	YGR207C
CIR2	YOR356W
CIS3	YJL158C
CCW11	YJL158C
CCW5	YJL158C
PIR4	YJL158C
SCW8	YJL158C
CIT1	YNR001C
GLU3	YNR001C
LYS6	YNR001C
CIT2	YCR005C
CIT3	YPR001W
CKA1	YIL035C
CKA2	YOR061W
CKB1	YGL019W
CKB2	YOR039W
CKI1	YLR133W
CKI	YLR133W
CKS1	YBR135W
CLA4	YNL298W
CLB1	YGR108W
SCB1	YGR108W
CLB2	YPR119W
CLB3	YDL155W
CLB4	YLR210W
CLB5	YPR120C
CLB6	YGR109C
CLC1	YGR167W
CLD1	YGR110W
CLF1	YLR117C
NTC77	YLR117C
SYF3	YLR117C
CLG1	YGL215W
CLN1	YMR199W
CLN2	YPL256C
CLN3	YAL040C
DAF1	YAL040C
WHI1	YAL040C
CLP1	YOR250C
CLU1	YMR012W
TIF31	YMR012W
CMC1	YKL137W
CMC2	YBL059C-A
CMC4	YMR194C-B
CMD1	YBR109C
CMK1	YFR014C
CMK2	YOL016C
CMP2	YML057W
CNA2	YML057W
CMR1	YDL156W
CMS1	YLR003C
CNA1	YLR433C
CMP1	YLR433C
CNB1	YKL190W
YCN2	YKL190W
YCNB	YKL190W
CNE1	YAL058W
CNL1	YDR357C
CNM67	YNL225C
CNN1	YFR046C
CNS1	YBR155W
COA1	YIL157C
FMP35	YIL157C
COA2	YPL189C-A
COA3	YJL062W-A
COX25	YJL062W-A
RRG10	YJL062W-A
COA4	YLR218C
CMC3	YLR218C
COA6	YMR244C-A
COB	Q0105
CYTB	Q0105
COF1	YLL050C
COG1	YGL223C
COD3	YGL223C
SEC36	YGL223C
TFI1	YGL223C
COG2	YGR120C
SEC35	YGR120C
COG3	YER157W
GRD20	YER157W
SEC34	YER157W
COG4	YPR105C
COD1	YPR105C
SEC38	YPR105C
SGF1	YPR105C
COG5	YNL051W
COD4	YNL051W
COG6	YNL041C
COD2	YNL041C
SEC37	YNL041C
TFI2	YNL041C
COG7	YGL005C
COD5	YGL005C
COG8	YML071C
DOR1	YML071C
COP1	YDL145C
RET1	YDL145C
SEC33	YDL145C
SOO1	YDL145C
COQ1	YBR003W
COQ10	YOL008W
COQ11	YLR290C
MRX2	YLR290C
COQ2	YNR041C
COQ3	YOL096C
COQ4	YDR204W
COQ5	YML110C
DBI56	YML110C
COQ6	YGR255C
COQ8	YGL119W
ABC1	YGL119W
COQ9	YLR201C
COR1	YBL045C
QCR1	YBL045C
COS1	YNL336W
COS10	YNR075W
COS111	YBR203W
COS12	YGL263W
COS2	YBR302C
COS3	YML132W
COS4	YFL062W
COS5	YJR161C
COS6	YGR295C
COS7	YDL248W
COS8	YHL048W
COS9	YKL219W
COT1	YOR316C
COX10	YPL172C
COX11	YPL132W
COX12	YLR038C
COX13	YGL191W
COX14	YML129C
COX15	YER141W
COX16	YJL003W
COX17	YLL009C
COX18	YGR062C
COX19	YLL018C-A
COX1	Q0045
OXI3	Q0045
COX20	YDR231C
COX23	YHR116W
COX2	Q0250
OXI1	Q0250
COX3	Q0275
OXI2	Q0275
COX4	YGL187C
COX5A	YNL052W
COX5B	YIL111W
COX6	YHR051W
COX7	YMR256C
COX8	YLR395C
COX9	YDL067C
COY1	YKL179C
CPA1	YOR303W
CPA2	YJR109C
CPD1	YGR247W
CPR1	YDR155C
CPH1	YDR155C
CYP1	YDR155C
SCC1	YDR155C
CPR2	YHR057C
CRG	YHR057C
CYP2	YHR057C
SCC2	YHR057C
CPR3	YML078W
CYP3	YML078W
CPR4	YCR069W
CYP4	YCR069W
SCC3	YCR069W
CPR5	YDR304C
CYP5	YDR304C
CYPD	YDR304C
CPR6	YLR216C
CPR7	YJR032W
CPR8	YNR028W
CPS1	YJL172W
CPS	YJL172W
CPT1	YNL130C
CRC1	YOR100C
CRD1	YDL142C
CLS1	YDL142C
CRF1	YDR223W
CRG1	YHR209W
CRH1	YGR189C
CRM1	YGR218W
KAP124	YGR218W
XPO1	YGR218W
CRN1	YLR429W
CRP1	YHR146W
CRR1	YLR213C
CRS5	YOR031W
CRT10	YOL063C
CRZ1	YNL027W
HAL8	YNL027W
TCN1	YNL027W
CSC1	YLR241W
CSE1	YGL238W
CSE2	YNR010W
MED9	YNR010W
CSE4	YKL049C
CSL2	YKL049C
CSF1	YLR087C
CSG2	YBR036C
CLS2	YBR036C
CSH1	YBR161W
CSI1	YMR025W
CSI2	YOL007C
CSL4	YNL232W
SKI4	YNL232W
CSM1	YCR086W
SPO86	YCR086W
CSM2	YIL132C
CSM3	YMR048W
CSM4	YPL200W
CSN12	YJR084W
CSN9	YDR179C
CSR1	YLR380W
SFH2	YLR380W
CSR2	YPR030W
MRG19	YPR030W
CST26	YBR042C
CST6	YIL036W
ACA2	YIL036W
CST9	YLR394W
ZIP3	YLR394W
CTA1	YDR256C
CTF13	YMR094W
CBF3C	YMR094W
CTF18	YMR078C
CHL12	YMR078C
CTF19	YPL018W
MCM18	YPL018W
CTF3	YLR381W
CHL3	YLR381W
CTF4	YPR135W
CHL15	YPR135W
POB1	YPR135W
CTF8	YHR191C
CTH1	YDR151C
CTI6	YPL181W
RXT1	YPL181W
CTK1	YKL139W
CTK2	YJL006C
CTK3	YML112W
CTL1	YMR180C
CTM1	YHR109W
CTP1	YBR291C
CTR1	YPR124W
CTR2	YHR175W
CTR3	YLR411W
CTR86	YCR054C
CTR9	YOL145C
CDP1	YOL145C
CTS1	YLR286C
SCW2	YLR286C
CTS2	YDR371W
CTT1	YGR088W
CUE1	YMR264W
KIS4	YMR264W
CUE2	YKL090W
