p_value	real_mean	simulated_mean
0.0	0.125	0.0
0.0	0.125	0.0
0.0	0.125	0.0
0.0	0.125	0.0
0.0	0.125	0.0
0.0	0.125	0.0
0.0	0.11111111111111113	0.0
0.0	0.11111111111111113	0.0
0.0	0.11111111111111113	0.0
0.0	0.11111111111111113	0.0
0.0	0.11111111111111113	0.0
0.0	0.22222222222222227	0.0
0.0	0.22222222222222227	0.0
0.0	0.19999999999999998	0.0
0.0	0.16666666666666666	0.0
0.0	0.16666666666666666	0.0
0.0	0.3333333333333333	0.0
0.0	0.3333333333333333	0.0
0.0	0.41666666666666663	0.0
0.0	0.41666666666666663	0.0
0.0	0.41666666666666663	0.0
0.0	0.41666666666666663	0.0
0.0	0.38461538461538464	0.0
0.0	0.4285714285714285	0.0
0.0	0.39999999999999997	0.0
0.0	0.35294117647058826	0.0
0.0	0.31578947368421056	0.0
0.0	0.3	0.0
0.0	0.3	0.0
0.0	0.38095238095238093	0.0
0.0	0.38095238095238093	0.0
0.0	0.3636363636363637	0.0
0.0	0.34782608695652173	0.0
0.0	0.34782608695652173	0.0
0.0	0.391304347826087	0.0
0.0	0.375	0.0
0.0	0.375	0.0
0.0	0.3103448275862069	0.0
0.0	0.3	0.0
0.0	0.28125	0.0
0.0	0.28125	0.0
0.0	0.28125	0.0
0.0	0.3125	0.0
0.0	0.3333333333333333	0.0
0.0	0.35294117647058826	0.0
0.0	0.38235294117647056	0.0
0.0	0.4285714285714285	0.0
0.0	0.41666666666666663	0.0
