module_name	reason
septin ring	linkage sets don't intersect
ncRNA 3'-end processing	linkage sets don't intersect
positive regulation of protein polymerization	linkage sets don't intersect
TOR complex	linkage sets don't intersect
mitotic actomyosin contractile ring	no linkages
ammonium transport	linkage sets don't intersect
attachment of mitotic spindle microtubules to kinetochore	linkage sets don't intersect
regulation of programmed cell death	linkage sets don't intersect
regulation of attachment of spindle microtubules to kinetochore	linkage sets don't intersect
microtubule binding	linkage sets don't intersect
regulation of nuclear-transcribed mRNA catabolic process                                          ,deadenylation-dependent decay	linkage sets don't intersect
negative regulation of cellular biosynthetic process	linkage sets don't intersect
establishment of sister chromatid cohesion	linkage sets don't intersect
positive regulation of response to nutrient levels	linkage sets don't intersect
clathrin adaptor complex	linkage sets don't intersect
replication fork	linkage sets don't intersect
carboxy-terminal domain protein kinase complex	no linkages
transition metal ion transmembrane transporter activity	linkage sets don't intersect
protein serine|threonine phosphatase complex	linkage sets don't intersect
cortical actin cytoskeleton organization	linkage sets don't intersect
Rab GTPase binding	no linkages
cellular bud neck septin structure	linkage sets don't intersect
TRAPP complex	no linkages
regulation of growth	linkage sets don't intersect
transcription factor activity                                                                     ,transcription factor recruiting	linkage sets don't intersect
cell cycle G2|M phase transition	no linkages
exocytic process	no linkages
general transcription initiation factor activity	linkage sets don't intersect
DNA packaging	linkage sets don't intersect
sister chromatid biorientation	linkage sets don't intersect
meiotic chromosome segregation	no linkages
DNA helicase complex	no linkages
drug transmembrane transporter activity	linkage sets don't intersect
activation of protein kinase activity	linkage sets don't intersect
chromatin assembly	no linkages
secondary active transmembrane transporter activity	linkage sets don't intersect
protein targeting to ER	no linkages
glycosylation	linkage sets don't intersect
cellular protein complex disassembly	linkage sets don't intersect
DNA conformation change	linkage sets don't intersect
ribosome localization	no linkages
actin cytoskeleton organization	linkage sets don't intersect
rRNA-containing ribonucleoprotein complex export from nucleus	no linkages
mitochondrion disassembly	linkage sets don't intersect
positive regulation of microtubule polymerization or depolymerization	linkage sets don't intersect
positive regulation of chromosome segregation	linkage sets don't intersect
histone deacetylase complex	no linkages
tRNA catabolic process	linkage sets don't intersect
protein-DNA complex disassembly	no linkages
microtubule organizing center part	linkage sets don't intersect
synaptonemal complex organization	no linkages
sister chromatid segregation	no linkages
regulation of cell morphogenesis	linkage sets don't intersect
actin cortical patch organization	linkage sets don't intersect
microtubule cytoskeleton organization involved in mitosis	linkage sets don't intersect
protein localization to chromosome                                                                ,centromeric region	linkage sets don't intersect
regulation of biological quality	linkage sets don't intersect
chromosome organization involved in meiotic cell cycle	no linkages
glycolipid biosynthetic process	linkage sets don't intersect
INO80-type complex	no linkages
cleavage apparatus septin structure	linkage sets don't intersect
positive regulation of MAP kinase activity	linkage sets don't intersect
P-P-bond-hydrolysis-driven transmembrane transporter activity	linkage sets don't intersect
mRNA cleavage factor complex	linkage sets don't intersect
regulation of mitotic cell cycle phase transition	linkage sets don't intersect
nucleus organization	linkage sets don't intersect
regulation of microtubule polymerization	linkage sets don't intersect
RNA polymerase II basal transcription factor binding	linkage sets don't intersect
regulation of DNA recombination	linkage sets don't intersect
regulation of gluconeogenesis	linkage sets don't intersect
fungal-type cell wall assembly	linkage sets don't intersect
transcription factor activity                                                                     ,protein binding	no linkages
positive regulation of autophagy	linkage sets don't intersect
protein deacetylase activity	no linkages
positive regulation of cell cycle process	linkage sets don't intersect
chromosome condensation	linkage sets don't intersect
regulation of mitotic nuclear division	linkage sets don't intersect
ATPase activity                                                                                   ,coupled to movement of substances	linkage sets don't intersect
positive regulation of organelle assembly	no linkages
spore wall assembly	linkage sets don't intersect
protein localization to chromosome	no linkages
translational elongation	no linkages
regulation of cell cycle	linkage sets don't intersect
vesicle-mediated transport to the plasma membrane	linkage sets don't intersect
growth	linkage sets don't intersect
small nucleolar ribonucleoprotein complex assembly	no linkages
phosphatidylinositol 3-kinase complex                                                             ,class III	no linkages
protein targeting to membrane	no linkages
Golgi cisterna	linkage sets don't intersect
positive regulation of protein kinase activity	linkage sets don't intersect
establishment of cell polarity	linkage sets don't intersect
inner mitochondrial membrane organization	linkage sets don't intersect
regulation of macroautophagy	linkage sets don't intersect
protein deacetylation	no linkages
Ras guanyl-nucleotide exchange factor activity	no linkages
condensed nuclear chromosome outer kinetochore	linkage sets don't intersect
H4|H2A histone acetyltransferase complex	linkage sets don't intersect
